path,sha256,size_bytes,modified
results/eval/base_distill15b_mgsm/base_distill15b_mgsm_mgsm_ru.json,da73306890ac7640e659392996b96454c92b9fd39ea4d57ec087c289cb667a28,1970912,2026-05-11T01:22:46+00:00
results/eval/base_distill15b_mgsm/base_distill15b_mgsm_mgsm_sw.json,7eb4a7fc8db4a2ed904ecc42f8bece0c1129c9ce1ba5bbec0e63bf036963e1a1,5368142,2026-05-11T01:34:46+00:00
results/eval/base_distill15b_mgsm/base_distill15b_mgsm_mgsm_th.json,ea7feb059329ed5f6221b3b6fc7d891c2ade993fffa87301420f9a50ab297699,3612899,2026-05-11T01:29:52+00:00
results/eval/base_distill15b_mgsm/base_distill15b_mgsm_mgsm_zh.json,549b82cb3d33bffa9d24e22cd7253fd3290e3f2f1f6af42613f4e245d0fc26b2,1562632,2026-05-11T01:24:21+00:00
results/eval/base_v3_openrs_eval/base_v3_aime2024.json,af7532d9cfddee92f5ab7e030f2b35452b70fe8772b5aa16b4015b28cc44de2a,639356,2026-05-09T04:20:37.946122+00:00
results/eval/base_v3_openrs_eval/base_v3_amc23.json,11f706be19314e045909cf0b32081b93baed97d99c4d28ee2ae0b2e16f8deb72,594014,2026-05-09T04:20:37.944873+00:00
results/eval/base_v3_openrs_eval/base_v3_math500.json,b46e316fb80e79ad0f0c7d794258b168dd21b9a1303666a0e208a70154c46902,4933865,2026-05-09T04:20:37.949892+00:00
results/eval/ckpt50_v3_openrs_eval/ckpt50_v3_aime2024.json,44a86bfc007bc10e0f6a4797042516260fc95fb075e00763ec214d56ac9d9c40,622188,2026-05-09T04:20:37.954109+00:00
results/eval/ckpt50_v3_openrs_eval/ckpt50_v3_amc23.json,4350e7d49b8fa8dbdcf0b1f519127624e194089a658b9c8c96bbb73e7ff0f697,578472,2026-05-09T04:20:37.960759+00:00
results/eval/ckpt50_v3_openrs_eval/ckpt50_v3_math500.json,2a878e8000f6adece2780f7b698ea096b1190610c1e9706fcecd34c500c6ad99,5087374,2026-05-09T04:20:37.957951+00:00
results/eval/reproduce_openrs_rs2_123_mgsm/reproduce_openrs_rs2_123_mgsm_mgsm_bn.json,529ff311d8a8524e87b9757ee59e8e16231eae05568c9e531b557136a16b9798,4604643,2026-05-10T16:37:46+00:00
results/eval/reproduce_openrs_rs2_123_mgsm/reproduce_openrs_rs2_123_mgsm_mgsm_de.json,d78bfb52da68409b6726ed4fdc571c6f0273de9bf51b014d11ed9b7a75fbb96d,2147146,2026-05-10T16:18:16+00:00
results/eval/reproduce_openrs_rs2_123_mgsm/reproduce_openrs_rs2_123_mgsm_mgsm_en.json,88709e2cbb8f6c8d9b7681cfccee62601e02f86598c1a8bfc5a590749d53c29b,1349622,2026-05-10T16:11:58+00:00
results/eval/reproduce_openrs_rs2_123_mgsm/reproduce_openrs_rs2_123_mgsm_mgsm_es.json,78d9c6a14118525c0f8636a0e68cb61cf78b22f02edb08fb66132d92be366f14,1955362,2026-05-10T16:14:01+00:00
results/eval/reproduce_openrs_rs2_123_mgsm/reproduce_openrs_rs2_123_mgsm_mgsm_fr.json,c4a7758618a98d754a4feaf55a432e7c141b516dc9bb32bd983e9d8bd6ea2ef1,1946799,2026-05-10T16:16:06+00:00
results/eval/reproduce_openrs_rs2_123_mgsm/reproduce_openrs_rs2_123_mgsm_mgsm_ja.json,276e6ba5da59e485f3e0cf4c30995ce35783f53b86b27a99882239e8c5a2b5ca,2514566,2026-05-10T16:24:11+00:00
results/eval/reproduce_openrs_rs2_123_mgsm/reproduce_openrs_rs2_123_mgsm_mgsm_ru.json,b0d908c5f949c49cd0752e5ddb426e74f58a87013d3be676d3e09d761e0cf145,1876705,2026-05-10T16:20:11+00:00
results/eval/reproduce_openrs_rs2_123_mgsm/reproduce_openrs_rs2_123_mgsm_mgsm_sw.json,b0cbfff04effdb3dcb2024540602281fe5e94b39048aa3e0beeab0bed12f7506,5267314,2026-05-10T16:33:03+00:00
results/eval/reproduce_openrs_rs2_123_mgsm/reproduce_openrs_rs2_123_mgsm_mgsm_th.json,8e9efde0cd83cb2b5ab89ef748a3fdc799bb226596158ef50f90ce2d9a16360b,3909446,2026-05-10T16:27:54+00:00
results/eval/reproduce_openrs_rs2_123_mgsm/reproduce_openrs_rs2_123_mgsm_mgsm_zh.json,44da8193d80694cf053000b02792c452ce16bf3ab004e9a9407a7ed60ce02c1c,1547821,2026-05-10T16:21:48+00:00
results/eval/reproduce_openrs_rs2_123_step50/reproduce_openrs_rs2_123_step50_aime2024.json,a472eecd17333d8b6bbeeaaaf0573555618cc5761afc94835fcb41225f11813d,610446,2026-05-09T00:40:03+00:00
results/eval/reproduce_openrs_rs2_123_step50/reproduce_openrs_rs2_123_step50_amc23.json,c216f7aa82dad1bdc325af4966917d7d78a5e0702d7dc59b0fe9d16dd925067e,655224,2026-05-09T00:21:51+00:00
results/eval/reproduce_openrs_rs2_123_step50/reproduce_openrs_rs2_123_step50_math500.json,5820414718f8c411f6715d3d96e57a707e783209fe0af22eb460db1dc67aaf2f,4803023,2026-05-09T00:27:20+00:00
results/eval/reproduce_openrs_rs2_42_step50_v2/reproduce_openrs_rs2_42_step50_v2_aime2024.json,3c28f407b32d84ba8193c9060c3401e7b9047b1f7cf4e0b1b7fe739794689078,355143,2026-05-09T04:20:37.964722+00:00
results/eval/reproduce_openrs_rs2_42_step50_v2/reproduce_openrs_rs2_42_step50_v2_amc23.json,c589cef574601bee40d3df05dddff82c38878dcef46731ce830c23da98691e65,396471,2026-05-09T04:20:37.967865+00:00
results/eval/reproduce_openrs_rs2_42_step50_v2/reproduce_openrs_rs2_42_step50_v2_math500.json,d3ec9c88799fc2f852f7f109b760cdd081e17049008e488d7a2ffd055152d1ee,3757800,2026-05-09T04:20:37.967280+00:00
results/eval/reproduce_openrs_rs2_7_mgsm/reproduce_openrs_rs2_7_mgsm_mgsm_bn.json,25be355e41daf9447c6bd871af908cb75f68d0ce5246e3371bc42a83a40fb332,4210527,2026-05-10T17:06:13+00:00
results/eval/reproduce_openrs_rs2_7_mgsm/reproduce_openrs_rs2_7_mgsm_mgsm_de.json,e66e9a2fc45bcad1bff707982f2fb3cdae3a58189a3799fc3fe6f8785d61bf31,2048702,2026-05-10T16:47:26+00:00
results/eval/reproduce_openrs_rs2_7_mgsm/reproduce_openrs_rs2_7_mgsm_mgsm_en.json,b530d87fc83955f31203bb1254eafe51c9276f620b0ef5e644397edc3043f5db,1197866,2026-05-10T16:41:11+00:00
results/eval/reproduce_openrs_rs2_7_mgsm/reproduce_openrs_rs2_7_mgsm_mgsm_es.json,a9a0a148dd26a016ebeb72ea67ffccd9100b70bd5ae1d797d1c4205d8a47bfd1,1911720,2026-05-10T16:43:14+00:00
results/eval/reproduce_openrs_rs2_7_mgsm/reproduce_openrs_rs2_7_mgsm_mgsm_fr.json,ab47ffcf0fc409a80a7175308fc760e27c6f74d162543d1d9451f414ede80b0d,1979036,2026-05-10T16:45:15+00:00
results/eval/reproduce_openrs_rs2_7_mgsm/reproduce_openrs_rs2_7_mgsm_mgsm_ja.json,43e9cbd862bb36541883a67b751bfc12a6c6ad9ff5264bf2bf803add6aeec969,2495471,2026-05-10T16:53:23+00:00
results/eval/reproduce_openrs_rs2_7_mgsm/reproduce_openrs_rs2_7_mgsm_mgsm_ru.json,5d59fe8d2385bc1044c4d3db6b055eb269c6b76d2c3c7484e5058403de280237,1868038,2026-05-10T16:49:22+00:00
results/eval/reproduce_openrs_rs2_7_mgsm/reproduce_openrs_rs2_7_mgsm_mgsm_sw.json,332bfeb9ad221ff70ba08499e1814de8e5f9d4ed5206309702331ffd4a38e1df,5188895,2026-05-10T17:01:56+00:00
results/eval/reproduce_openrs_rs2_7_mgsm/reproduce_openrs_rs2_7_mgsm_mgsm_th.json,9bd26964d3c7fd254bca1edd5a1466006fd0f1f26017cf44b4266b873a30954a,3999688,2026-05-10T16:57:02+00:00
results/eval/reproduce_openrs_rs2_7_mgsm/reproduce_openrs_rs2_7_mgsm_mgsm_zh.json,8fd969a1c50874fcc4d773a097ca192edbd9c2afcae68a7273933b213f15f316,1705663,2026-05-10T16:51:05+00:00
results/eval/reproduce_openrs_rs2_7_step50/reproduce_openrs_rs2_7_step50_aime2024.json,3ce77f5989a8a8ebf68f37088dda128833cca5fbe678753847ab8fc98f4c0f15,697115,2026-05-09T01:06:32+00:00
results/eval/reproduce_openrs_rs2_7_step50/reproduce_openrs_rs2_7_step50_amc23.json,cca2bf48db4ba88863d3cd52442066949bfa46b38c865326d7fafbe39da8b13b,543347,2026-05-09T00:47:59+00:00
results/eval/reproduce_openrs_rs2_7_step50/reproduce_openrs_rs2_7_step50_math500.json,4b95e514a10c2767f9956a33a289a78835aeb17b1c35ff07f07cf49d3af6d2e3,4950689,2026-05-09T00:53:44+00:00
results/grpo/a2_vi_123/checkpoint-100/README.md,b49207ecb7acf2a7591a53638a69a3a1e8527802125399f4fe310de4c5ed83bf,5115,2026-05-09T06:38:14+00:00
results/grpo/a2_vi_123/checkpoint-100/adapter_config.json,311e43bd3d7a4d5ecb4ca85e7950f46578e56b2518ead8ef0c9e46e94665ee92,766,2026-05-09T06:38:15+00:00
results/grpo/a2_vi_123/checkpoint-100/adapter_model.safetensors,611d9bd7842f835fa0462917b6312b27ff769210963456577264fb929a52da09,17462432,2026-05-09T06:38:15+00:00
results/grpo/a2_vi_123/checkpoint-100/optimizer.pt,30473400006df339d11292d2e314af7dcbb27786f15386aa9f092c5079829136,35053178,2026-05-09T06:38:15+00:00
results/grpo/a2_vi_123/checkpoint-100/rng_state.pth,b3273354e7f474502a4cc1e7182789bb167b744eed5963e9127d1d000f41c4d6,14180,2026-05-09T06:38:15+00:00
results/grpo/a2_vi_123/checkpoint-100/scheduler.pt,905ea96ca7cda2ab600d4e6013595fa3eaee9968533b2bdd4b5cdf7a5f7e5292,1064,2026-05-09T06:38:15+00:00
